 countyName, cityName, HotelCode, HotelName, HotelRating
Thailand,Hua Hin,1148781,Blue Wave Hotel Hua Hin,2
India,Indore    Madhya Pradesh,1370407,Hotel Somdeep Palace,3
Spain,Cadiz,1087410,Palacio Garvey Hotel,4
Spain,Aracena,1053690,Hospederia Reina De Los A ngeles,1
Australia,Shoal Bay    New South Wales,5415243,Shoal Bay Road Bella Vista Unit 22 19,3
Italy,Rome,1041866,Wyndham Rome Midas,4
Spain,Playa de Palma,1165790,Orbe,1
Brazil,Maceio,5367846,Park Shopping Club,3
Austria,Reutte,1112290,Europark Hotel International,4
Costa Rica,Grecia,1001764,Trapp Family Country Inn,3
Spain,Cuzcurrita de Río Tirón,5938631,Rivera Del Tiron Viviendas De Uso TurÍstico,5
Spain,Alcalá del Júcar,1847701,Casa Cueva Las Tinajas de Naya,3
Mexico,Guanajuato,1490256,Hotel San Diego,4
India,Goa    GOA,1191797,St Regis Goa Marriot Hotel,5
Italy,Varese,5651695,Carpe Diem,5
Thailand,Chonburi,6014929,Khiang Talay Condo Unit 502,5
Bulgaria,Pomorie,1823526,Boutique Rose Gardens Beach & SPA Hotel,3
Germany,Heringsdorf,1005739,SEETELHOTEL Hotel Esplanade,5
Japan,Tottori,1293252,ANA Crowne Plaza Yonago,3
Germany,Usedom,5636207,_73_ Wei_e Duene 1,5
United States,College Park    Georgia,1340672,Sleep Inn Airport College Park,2
India,Gurgaon,1405288,Ajay Residency,3
Laos,Vientiane,1408453,Phonebandith Hotel,2
United Kingdom,Keswick,5548307,Fairholme,4
Germany,Valwig,1297600,Gast und Weinhof Beim Schneemann,3
Belgium,Lierneux,1233389,Hostellerie La Maison de Maître,2
United Kingdom,Bournemouth,1347190,Hotel Riviera,2
Italy,Calatabiano,1626693,Il Maniero,5
Colombia,Acacías,1730547,Hotel Casa Antigua,5
Argentina,Pinamar,5668676,Casa En La Herradura Pinamar,5
France,Cavalaire sur mer,1391947,Hotel Les Alizes,3
Colombia,Pamplona  Colombia,1797420,Hotel Hontibon,5
United States,Breckenridge    Colorado,1451966,Swan River Retreat,3
Vietnam,Lào Cai,1413663,Sapa Stunning View Hotel,3
France,Marans,1608721,Chambres d'Hôtes Barbecane,5
France,Villefranche-sur-Mer,5475994,Henrietta 13 Soleil D'or Villefranche sur mer,5
India,Jwalamukhi    Himachal Pradesh,5106958,Hotel Yamuna,2
Italy,Alpe di Siusi,1199600,Activehotel Diana,4
Italy,Salve,1795457,Bed & Breakfast Il Cedro,5
Brazil,Saquarema,1553688,Espaco Monte Cristo,2
Argentina,Cordoba,1489358,Los Sauces Hotel and Spa,3
United Kingdom,London,1499354,The Bryson Hotel,4
Morocco,Asni,1694043,Morocco Classic House,3
Slovenia,Kranjska Gora,5279293,Apartment Brina,3
Portugal,Vila do Conde,5481144,Casa Na Praia Do Mindelo,5
India,Kumbakonam    Tamil Nadu,1741115,Jai Dharshini Palace,1
Croatia,Vinkuran,5897992,Nada in Vinkuran,3
Mexico,Guadalajara,1227426,Hotel Universo,3
United Kingdom,Stirling,1496065,Baron House Bed & Breakfast,4
Germany,Morbach,6098519,Comfortable Apartment With a Beautiful View in Morscheid,3
Italy,Foligno,1068921,Relais Forti,3
Japan,Kusatsu (Shiga),1367197,Urban Hotel Kusatsu,2
Cambodia,Phnom Penh,1166364,Golden House International Hotel,3
Italy,Turin,1598986,Hotel Pino Torinese,3
Portugal,Santa Cruz das Flores,1165484,Hotel Ocidental,2
Italy,Casamicciola,1160892,Ischia Casa della Vela,3
Australia,Surfers Paradise    Queensland,1026223,Paros on the Beach,3
South Africa,Kwazulu Natal,5810940,Long Island 42,5
United Kingdom,Newquay,1349165,The Silver Jubilee Guest house,3
United Kingdom,Oxford,1055038,The Burlington House,5
Italy,Peschici,1424463,Hotel Sirena,3
United States,Palm Desert    California,5596832,Palm Springs Camping Resort Cottage 2,5
United States,Orange Beach    Alabama,1271007,Summer House on Romar Beach by Wyndham Vacation Rentals,3
Ukraine,Switjas-See,1783646,Sadyba u Gansa,5
France,Chamonix,5701451,Chalet Chintalaya,5
United States,Maunaloa    Hawaii,5420962,Kalua Koi Villas 1182,3
Italy,Riccione,1408619,Consul Hotel,3
Italy,Molveno,1403726,Hotel Lido rooms & apartments,3
Austria,Kitzbühel,1530996,Appartementhaus Fuchs Christian,4
New Zealand,Cromwell,1648227,River Rock Estate,3
Mexico,Los Cabos,1011540,Los Milagros,2
Spain,Cazorla,5184395,Cazorla House Gallery,3
Malaysia,Langkawi,5577443,Zen Rooms Basic Pantai Kok,2
Indonesia,Bali,1356243,Santai Hotel,3
Italy,Nicolosi,5232638,La Perla di Nicolosi,1
Italy,Subbiano,6056010,Villa Olivi,5
New Zealand,Queenstown,1404622,New Orleans Hotel,3
United States,Boothbay Harbor    North Carolina,1673205,Sebenoa Retreat At Sprucewold,3
United Kingdom,Deal,1790780,Sunnycroft,5
Spain,San Bartolomé de Tirajana,1037645,Playa Feliz,5
Greece,Amoudara,5406414,Experience & Enjoy Sea View Studios,3
Italy,Specchia,1347487,Hotel Salento,3
Germany,Wittmund,1280077,An't Yachthaven,5
France,Pralognan,6005583,Apartment T2 mezzanine en plein centre,5
Italy,Morciano di Leuca,5232710,Torre Vado House,5
United States,Seattle    Washington,5193750,Pike Place Condos By Domicile,3
Spain,Cambrils,5164069,Apartamento Vista al Jardin Para 8 Personas en Cambrils,3
Thailand,Phuket,1605955,Phoenix Grand Hotel,3
Russian Federation,Novokuznetsk,1765672,Hostel Pushkin,2
Spain,Valladolid,1830055,La Puerta De La Ribera,1
Costa Rica,Golfito,1041303,Hotel Sierra,5
Spain,Can Picafort,1700582,Cornamusa,5
France,Lacanau,1156348,Estivel Eden Parc Golf,4
Italy,Reggio Emilia,1419307,Hotel Regio,3
Russian Federation,Juschno-Sachalinsk,1754539,Hostel Ostrova,5
Ecuador,Quito,1396507,Hostal Noches de Quito,2
Slovakia,Dunjaska Streda,1464332,Penzion Nevada,3
Sri Lanka,Tissamaharama,1613174,Yala Leopard Lodge,3
Indonesia,Pecatu,1904801,Tregge Surf Camp Uluwatu,5
Germany,Fuhlendorf,5682186,Ferienhaus Haubenlerche 52,5
United States,Chattanooga    Tennessee,1441143,Holiday Inn Hotel & Suites Chattanooga Downtown,3
United States,Montgomery    Alabama,1233082,Courtyard Montgomery Prattville,3
India,Chennai    Tamil Nadu,5533514,Capital O 896 The Royal Regency,3
Austria,Seelach,5545873,FrÜhstÜckspension Steffi,5
United States,California    Maryland,1479272,Petit Logis Inn,3
Thailand,Chonburi,1652496,Villa Nobility,3
Peru,Cuzco,1785011,Ukumari Hostel,5
France,Carcassonne,5481384,Maison Bacou Cité 1,1
India,Kochi,1127287,Master Comfort Inn,3
New Zealand,Kaikoura,1170042,Bella Vista Motel Kaikoura,4
Cyprus,Limassol,1846973,Lania Royal Oak Villa,4
Albania,Himarë,5528731,Belvedere Hotel & Suites,5
Thailand,Sikao,1465119,Sabai Resort Pak Meng,3
Austria,Dombim,1713939,Hotel Katharinenhof Comfort,4
Switzerland,Tramelan,1005156,CIP Tramelan Hotel Seminar,3
United Kingdom,Birmingham,1175037,Holiday Inn Express Birmingham South A45,3
France,Nizza (Nice),5781492,Nestor&Jeeves House Of Cards Central By sea,5
United States,Breckenridge    Colorado,5340826,6041 E Hwy 9 Home,5
United States,Volcano Village    Hawaii,1531755,Lotus Garden Cottages,3
Belgium,Koksijde,1328664,Casino Hotel,4
United States,Kaunakakai    Hawaii,5259404,Ka Hale Kealoha,5
Italy,Livorno,1317984,Al Teatro,3
Italy,Matera,5288813,Testa O Croce Casa Vacanze,5
Italy,La Spezia,1641551,La Torre Dei Merli Luxury Collection,5
Brazil,Arraial do Cabo,5617234,Casa Praia Grande 5 Qtos,5
United Kingdom,Chorley,1337982,Inglewood Boutique B&B,3
United States,Beaverton    Oregon,1283844,Peppertree Inn,2
Albania,Albanien,1220850,Dicks Sons Hotel,3
Spain,Lloret de Mar,5552057,Azahara,5
Austria,Eben,1220108,Untersüßgut,4
Austria,Innsbruck,1396192,Hotel Berghof,3
United Kingdom,Blackpool,1402481,Lindene Hotel,3
Spain,Sitges,1344811,Playa de Oro,1
Italy,Rosolina Mare,5378363,Residence Piazzetta 8,5
United Kingdom,Falkland,1399937,The Covenanter Hotel,3
Colombia,Bogota,1429754,Hotel Boutique Breton Hill Parque 93,3
United States,Holbrook/Petrified Forest    Arizona,1880974,66 Motel,5
South Korea,Suwon,5241920,Jamping Holiday Yongin Campsite,2
Spain,San Antonio,1224368,Torres Hostal,2
Russian Federation,Yaroslavl,1603080,Guesthouse of the Pastukhov Academy,5
United States,Bend    Oregon,5464655,Vista 16,4
Spain,Barcelona,1679840,Hotel Rec Barcelona Adults Only,3
United States,Hutchinson    Kansas,1257323,Comfort Inn & Suites,2
Italy,Tremosine-Voltino,5337920,La Rotonda Holideal,5
Italy,Parma,1207249,SINA Maria Luigia,4
Brazil,Manaus,1398899,Danutts Hotel,3
Germany,Bad Harzburg,5254025,Apartment Bummelallee,5
Morocco,Essaouira,1633133,Le Cactus Bleu,1
Spain,Olite,5514775,Casarosaenea,3
United Arab Emirates,Dubai,5008120,Kaya Hostel,5
Israel,Tiberias,1019941,Royal Inn Hotel Tiberias,3
France,Nice,1614041,Résidence privée Negresco,5
Switzerland,Laax,1160511,Laaxerhof,4
Kenya,Mombasa,1146310,Serena Beach Resort & Spa,4
Spain,Burgos,5457291,Apartamento La Muralla,5
United States,Killington    Vermont,6100133,Lakewood Lodge,5
United Kingdom,Salisbury,1495802,The Poplars B&B,3
Spain,Lloret de Mar,5947483,Montbarbat Villa Pool Wifi,5
Argentina,Mar de Plata,1534118,Hotel California,1
United States,Daytona Beach Shores    Florida,5698836,Pirates Cove Condo Unit #117,5
France,Sete,1890406,Hôtel La Conga,2
United Kingdom,Brighton,5212217,Queens Square Brighton Guest Homes,3
Japan,Takamatsu,1712276,Sun Royal Hotel,3
Germany,Königssee,1006771,Fewo Korn,5
Spain,Rincon de la Victoria,5456660,Piso Playa Malaga,3
United Kingdom,Hull,1648081,Pickering Park Hotel,4
Taiwan,Hengchun,1458302,myOcean Villa,3
Greece,Lithochoro,1212947,To Palio Litohoro,3
Greece,Sitia,1168272,Sitia Bay,3
Morocco,Fes,1873129,Dar Saray,5
Spain,A Coruña,1732633,Albergue Pension Casa da Gandara,5
Spain,Fuengirola,1490359,Apartamentos Embajador,5
Italy,Aggius,1779684,B&B Li Criasgi,5
Spain,Palamos,1291123,Hotel La Malcontenta,5
Austria,Lienz,5291804,Ferienwohnung Walder,5
Spain,Pineda de Mar,1209396,Camping Sènia Caballo de Mar,2
Indonesia,Tangerang,5459049,Minimalist Studio Room At Grand Serpong Apartment By Travelio,2
Vietnam,Mui Ne,1119765,The Sailing Bay Beach Resort,4
Spain,Porreres,5376759,Alqueria,5
Italy,Lignano Sabbiadoro,1360376,Camping Sabbiadoro,3
France,Marseille,1237701,B&B Hôtel Marseille La Valentine,2
Peru,Paracas,1917441,Buganvilia,5
Bulgaria,Ravda,1512213,Rich 3,2
Thailand,Sukhothai,1699714,Sakthong Resort,2
South Korea,Seoul,1093293,Grand Ambassador Seoul associated with Pullman,5
India,Chennai    Tamil Nadu,1366590,Oyo 13424 Hotel Anushka,2
United States,Jacksonville    Florida,6049397,1423 North Fletcher,5
Austria,Radstadt,1190013,Stegerbräu,3
New Zealand,Waiheke Island,1062573,The Boatshed Seaside Boutique Hotel,3
United States,Denton    Texas,1334142,Hampton Inn & Suites Denton,2
Ukraine,Truskavets,1580739,Villa Lidiya,5
Belgium,Durbuy,1338297,Jean De Boheme,4
Thailand,Phetchabun,1925944,Pattida @ Khaokho,2
France,Calvados,1308089,Le Clos Deauville Saint Gatien,3
Mexico,Zihuatanejo,5216619,Villa Marina Ixtapa,5
South Africa,Bloemfontein,1108699,Bains Chalet Park,3
Italy,Pontremoli,1778222,l'Agriturismo Lucchetti Ferrari,5
Australia,Bairnsdale    Victoria,1779794,Bloomsbury Cottage,5
United States,Sarasota    Florida,1456298,Sun N Fun RV Resort,2
Malaysia,Kuah,1078674,Twin Peaks Island Resort,2
Japan,Miyako Jima Island,1469507,Konpeki The Villa All Suite,4
Japan,Yamanakako,1822574,Hatago Sakuraya,3
Argentina,Mar de Plata,1720352,Hotel El Circulo,2
Spain,Barbate,1864548,Villa Ana,5
Spain,Empuriabrava,5651999,Ampuries Delta Apartment,5
United Kingdom,Stirling,1010697,Lochend Chalets,4
United Kingdom,Peterborough,1453239,Castle Farm Guest House,4
Italy,Varese,1218000,"Hotel Horizon Wellness & Spa Resort, BW Signature Collection",4
Tanzania,Dar-es-Salaam,1380513,Sleep Inn Hotel Kariakoo,3
Brazil,Buzios,1643699,Villa Riveira Francesa Buzios,5
Belgium,Knokke,1459749,Holiday Village Knokke,5
France,Les Orres,6058171,Apartment Le cairn 6,1
Kenya,Amboseli,1342894,Amboseli Sopa Lodge,4
Sri Lanka,Negombo,1851898,Chrish Residence Negombo,3
Croatia,Vrsi,1864801,Hotel Beni,3
Thailand,Hat Chao Samran,1754184,Capstone Resort,3
United Kingdom,London,5336265,Central Luxury Suites,3
France,Honfleur,5406043,Boudin Cottage Honfleur,5
Denmark,Billund,1241167,Zleep Hotel Billund,3
Thailand,Maret,1649624,Kingston Jamaica Hostel,2
United States,Lajitas    Texas,1360494,Lajitas Golf Resort And Spa,4
Indonesia,Bunutan,1026061,Jepun Bali Villas,3
Israel,Netanya,1468930,Kikar Boutique Hotel,5
Serbia,Dragash,1577935,Meka Hotel,4
Spain,Santo Domingo de la Calzada,1659701,RoomConcept Hostel,5
China,Xiaogan,1693968,Rongxin International Hotel,3
Italy,Gorizia,5295708,Parco Salute,5
India,Aurangabad    Maharashtra,1504748,Treebo Sonia,3
Italy,Castellinaldo,1594043,Il Borgo B&B,5
Thailand,Chiang Rai,1488294,Golden Iyara Resort,2
Bolivia,Cochabamba,1398474,Hostal Olympic,3
Brazil,Guarujá,1797122,Casa Do Gustavo,5
Spain,Montefrio,5774003,Holiday home Carrer de Illora,5
Italy,Como,1072201,Bed & Breakfast Sosta Sul Lago,5
United States,Kissimmee    Florida,5467235,Villa W172,4
Brazil,Garopaba,6024580,Pousada Villa São Pedro,5
South Korea,Changwon,1771247,It's Motel,2
France,Beaulieu-sur-Mer,1340124,Hotel Le Havre Bleu,2
France,Les Coches,5712007,Apartment Pentes 19,5
United States,Chicago    Illinois,5957509,Chestnut Charm Modern Safe 1BDR in Downtown,3
France,Paris,1033381,Apartment Poteau,3
South Africa,Kwazulu Natal,5364214,San Lameer Villa 2017,3
India,Ramnagar,1094240,Corbett Treff Hotel,3
Ireland(Republic of),Donegal,1333674,McGettigans Hotel,3
Taiwan,Donggang,6078394,Sailing Inn,5
Austria,Graz,5013227,Apartment4u,5
Italy,Casarano,5406874,Tenuta Pompea,5
United Kingdom,Bristol,1860657,The Temple Inn,5
Israel,Amirim,5556419,Ha'seuda Ha'achrona Suites,5
Spain,Asturias,1414034,Hotel el Rincon de Yaxu,2
Spain,Montserrat,5308444,El Celler de la Guàrdia,5
France,Niederbronn-les-Bains,1799197,Chambres D'Hotes Chez Marie,5
Argentina,Vicente López,5688426,Departamento Vicente Lopez,5
United Kingdom,Gwynedd,5378025,Ffordd Deg Ddu,3
Germany,Dornum,5730897,Ferienhaus Watt_n Huus,5
Italy,Tramonti,1857815,B&B Fior Tramonti,5
Italy,Salerno,1026336,Grand Hotel Paestum,4
Sri Lanka,Dambulla,1486586,Relax Guest House Dambulla,5
United Kingdom,Guisborough,5234069,White Rose Cottage Guisborough,3
Italy,Gargnano,1894832,Hotel La Terrazzina,5
United States,Key West    Florida,1746374,Geiger Key Marina RV Park,2
Italy,Ascoli Piceno,1166504,Hotel Parco Dei Principi,4
Italy,Siena,1048358,Villa Nottola,3
China,Shaoxing,1005018,Jinjiang Inn Central Shaoxing Shengli Road,2
Italy,Tortoreto,1139902,Hotel Palace Tortoreto,3
Germany,Kaisersbach,5322057,Ebnisee Apartments,5
United Kingdom,Carnforth,1790696,The Head At Middleton,5
United Kingdom,Lowestoft,1861292,Homelea Guest House,5
Italy,Aprica,1074760,Residence Stella Alpina,3
Brazil,Porto das Galinhas,5002164,Samoa Beach Resort,4
Indonesia,Bandar Lampung,1222765,Emersia Hotel & Resort,4
Italy,Lido di Ostia,1380565,Appartamento lido di Ostia,1
United States,Fort Dodge    Iowa,1249971,Americas Best Value Inn Webster City,2
South Korea,Bongpyeong,1838655,Pyeongchang Morning Sound Pension,2
South Korea,Pusan,1837782,The Gentle Hotel,2
Spain,Seville,5913879,Apartamento Moderno Centro Sevilla,5
Spain,Lasarte-Oria,1219241,Hotel Ibiltze,1
United Kingdom,Darlington,5495853,Brankin Road House,3
China,Jiangdu,1074256,Hanting Hotel South Zhongshan Road,2
Philippines,Boracay Island,1463728,Villa Gabriel,5
Taiwan,Hengchun,1628410,Kenting Culture Resort,3
Ireland(Republic of),Buncrana,1351786,Inishowen Gateway Hotel,3
United States,Raton    New Mexico,1365084,Casa Lemus Inn & Restaurant,3
Brazil,Saquarema,1942406,Pousada Solar Tropical,5
Spain,Ronda,1560325,Casa Palacio VillaZambra,4
Colombia,Medellin,1862656,Hotel Beliz,3
United Arab Emirates,Sharjah,5014378,Luxe Grand Hotel Apartments,5
Spain,Calas de Mallorca,1148054,Globales América,4
Germany,Berlin,1268946,Residenz 2000 Hotel Berlin,2
Switzerland,Sion,1006560,Hotel Castel,3
Spain,Cambrils de Mar,5375616,Al Centre Del Port,5
Italy,Linguaglossa,1833655,Agriturismo Kikajon,5
India,Udaipur    Rajasthan,1846065,Hotel Elegance Villa,3
Zimbabwe,Victoria Falls,1441415,Wild Trekkers Lodge,3
France,Bordeaux,5451170,Cocon Bouquière Apartment 2,5
Italy,Viareggio,1323786,Bahia,3
Colombia,Melgar,1875269,Hotel Mirador del Magdalena,5
Indonesia,Bali,1103775,Tradisi Villas,3
Argentina,Caviahue,1398709,Hotel Arquimedes,3
Spain,El Tanque,1086836,Finca El Lance,3
Spain,Granada,5963762,Penthouse Diana,5
India,Kota    Rajasthan,5451690,OYO 15994 Hotel Bullet Inn & Lounge,3
United States,Jersey City    New Jersey,1339972,Quality Inn Meadowlands,2
Germany,Klink on the Müritz,1222153,Hotel Sembziner Hof,3
United States,Port Aransas    Texas,5359012,Beach Dreams In Port Aransas,5
China,Huzhou,5160920,Narada ResortSpa Nanxun Giant,5
Estonia,Kuressaare,5207713,Arte Apartment,5
United States,Forney    Texas,1278317,Super 8 By Wyndham Forney east Dallas,2
Chile,Villarrica,1395585,Hotel El Ciervo,3
Spain,Manacor,1015554,Hotel Porto Playa,2
Portugal,Portimao,1129703,Pestana Alvor Atlântico,3
United States,Lavonia    Georgia,1325415,Days Inn Lavonia,2
France,Agnieres-en-Devoluy,6139000,Apartment in Wooden Building in the Nice Superdévoluy,5
Germany,Hamburg,5409620,Burhan,5
Portugal,Obidos,1220761,Quinta da Torre,5
France,Mâcot-la-Plagne,6037525,Apartment 2 PiÈces 4 Personnes Au Pied Des Pistes Exposition Sud,5
Spain,Vera,6104616,Alborada 1º230,3
Spain,Pulpi,6131480,Casa Paraiso,3
United States,Bethlehem    Pennsylvania,1331753,Comfort Suites University Bethlehem,2
Germany,Grömitz,5665123,Klabautermann #29573,5
United States,Columbus    Indiana,1261542,Hotel Indigo Columbus Architectural Center,3
United Kingdom,Burton upon Trent,5668832,Swallow Cottage,4
United States,Tomball    Texas,1383851,Holiday Inn Express & Suites Houston Nw Tomball Area,2
Austria,Kappl,1522874,Pezza Lischa,5
Spain,Benidorm,5196474,Los Gemelos 21 B,3
China,Harbin,1436498,Wansheng Holiday Hotel,4
Germany,Gelsenkirchen,1058959,Heiner's Parkhotel,4
South Korea,Paju,1407450,Hotel Carlton,3
Portugal,Angra do Heroismo,5905101,Quinta Do Mar,5
United Kingdom,Great Yarmouth,1645566,TWIN PALMS GUESTHOUSE,2
India,Ajmer    Rajasthan,1199641,Ananta Spa & Resorts,5
Italy,Maiori,1183413,Residence La Dolce Vita,4
Ireland(Republic of),Dublin,5146905,Dublin Airport Park north,3
Ecuador,Manglaralto,1704174,El Refugio de la Aves Hostel,2
United Arab Emirates,Abu Dhabi,1335722,Holiday Inn Abu Dhabi,4
Philippines,Palawan,5739743,Carmelita Homestay,5
Spain,Alcudia,5954986,Villa Ca'n Leon,5
United States,Newport    Oregon,1554414,Miramar 3 Br home by RedAwning,5
France,Saint Jean-Cap Ferrat,1034456,La Voile d'Or,5
Germany,Varel,5925347,Boje 7_8 Dat Penthuus,5
Nepal,Dhangadhi,1640658,The Rubus Hotel,3
Indonesia,Bunutan,1188822,Life in Amed Bali,4
Germany,Heringsdorf,6028679,Villa Auf Der Duene,5
Italy,Venice,1155549,Hotel Dante,2
United Kingdom,Devon,6061366,Lane End Linney,4
Sri Lanka,Colombo,1493907,Drift Bnb,3
United States,Ruidoso    New Mexico,5143835,Buckhorn Cabin Cabin,4
Germany,Juliusruh,6144351,Strandparadies Juliusruh 2,5
France,Saint Pair sur Mer,5640092,Apartment A Saint Pair Sur Mer Dans Residence En Front De Mer Appartement,5
United States,Warrenton    Missouri,1326698,Quality Inn Foristell,2
United States,Breckenridge    Colorado,5466551,One Ski Hill Place S8501,5
France,Fouesnant,1606962,La Dolce Vita,1
Turkey,Amasya,1412867,Ilk Pension,5
United States,Denver    Colorado,1336281,Holiday Inn Express Hotel & Suites Wheat Ridge Denver West,2
Sri Lanka,Nuwara Eliya,1838877,Rosedale Bungalow Nuwaraeliya,2
Finland,Helsinki,5455016,EasyHomes Helsinki Bulevardi 12,3
United Kingdom,Buxton,1613715,The Queens Head Hotel,3
France,Montagny-lès-Beaune,5359061,Ancien Domain le Petit Bonheur,5
Italy,Venice,1044322,Taverna San Lio,3
Canada,Vernon    British Columbia,1782236,Country Cottage B&B,5
Spain,Calvia,6049119,Villa Mediterranea,5
Spain,Santiago de Compostela,5740766,Pension centro,5
Germany,Oberstaufen,1036194,Haus Parkblick,3
United Kingdom,London,5389635,The Strand Residences Covent Garden Collection,4
Australia,Cairns    Queensland,1642621,Brinsmead Family Holiday Home,4
Brazil,Ubatuba,5801213,Apartamentos Da 23,5
Peru,Huaraz,1576582,Ebony Hotel,3
Austria,Vienna,1151496,H Hotel Wien,3
United States,Kiawah Island    South Carolina,5504048,1357 Fairway Oaks Villa,5
Spain,Marbella,1532261,El Tío Mateo,1
Ireland(Republic of),Waterford,1282261,Riverwalk Waterford Apartments,3
